year,state,party,perc_votes
1976,Alabama,DEMOCRAT,0.55727268884473935
1977,Alabama,DEMOCRAT,0.55727268884473935
1978,Alabama,DEMOCRAT,0.55727268884473935
1979,Alabama,DEMOCRAT,0.55727268884473935
1980,Alabama,REPUBLICAN,0.4875012016284021
1981,Alabama,REPUBLICAN,0.4875012016284021
1982,Alabama,REPUBLICAN,0.4875012016284021
1983,Alabama,REPUBLICAN,0.4875012016284021
1984,Alabama,REPUBLICAN,0.6054249354760621
1985,Alabama,REPUBLICAN,0.6054249354760621
1986,Alabama,REPUBLICAN,0.6054249354760621
1987,Alabama,REPUBLICAN,0.6054249354760621
1988,Alabama,REPUBLICAN,0.5916504893810266
1989,Alabama,REPUBLICAN,0.5916504893810266
1990,Alabama,REPUBLICAN,0.5916504893810266
1991,Alabama,REPUBLICAN,0.5916504893810266
1992,Alabama,REPUBLICAN,0.4764540359939813
1993,Alabama,REPUBLICAN,0.4764540359939813
1994,Alabama,REPUBLICAN,0.4764540359939813
1995,Alabama,REPUBLICAN,0.4764540359939813
1996,Alabama,REPUBLICAN,0.5012184320516389
1997,Alabama,REPUBLICAN,0.5012184320516389
1998,Alabama,REPUBLICAN,0.5012184320516389
1999,Alabama,REPUBLICAN,0.5012184320516389
2000,Alabama,REPUBLICAN,0.5648375535326765
2001,Alabama,REPUBLICAN,0.5648375535326765
2002,Alabama,REPUBLICAN,0.5648375535326765
2003,Alabama,REPUBLICAN,0.5648375535326765
2004,Alabama,REPUBLICAN,0.6246068975770077
2005,Alabama,REPUBLICAN,0.6246068975770077
2006,Alabama,REPUBLICAN,0.6246068975770077
2007,Alabama,REPUBLICAN,0.6246068975770077
2008,Alabama,REPUBLICAN,0.603169130291706
2009,Alabama,REPUBLICAN,0.603169130291706
2010,Alabama,REPUBLICAN,0.603169130291706
2011,Alabama,REPUBLICAN,0.603169130291706
2012,Alabama,REPUBLICAN,0.6054582232982282
2013,Alabama,REPUBLICAN,0.6054582232982282
2014,Alabama,REPUBLICAN,0.6054582232982282
2015,Alabama,REPUBLICAN,0.6054582232982282
2016,Alabama,REPUBLICAN,0.6208309236440906
2017,Alabama,REPUBLICAN,0.6208309236440906
2018,Alabama,REPUBLICAN,0.6208309236440906
2019,Alabama,REPUBLICAN,0.6208309236440906
2020,Alabama,REPUBLICAN,0.620316431668648
1976,Alaska,REPUBLICAN,0.5790457539611893
1977,Alaska,REPUBLICAN,0.5790457539611893
1978,Alaska,REPUBLICAN,0.5790457539611893
1979,Alaska,REPUBLICAN,0.5790457539611893
1980,Alaska,REPUBLICAN,0.5434819653507527
1981,Alaska,REPUBLICAN,0.5434819653507527
1982,Alaska,REPUBLICAN,0.5434819653507527
1983,Alaska,REPUBLICAN,0.5434819653507527
1984,Alaska,REPUBLICAN,0.666539823221984
1985,Alaska,REPUBLICAN,0.666539823221984
1986,Alaska,REPUBLICAN,0.666539823221984
1987,Alaska,REPUBLICAN,0.666539823221984
1988,Alaska,REPUBLICAN,0.595909372563913
1989,Alaska,REPUBLICAN,0.595909372563913
1990,Alaska,REPUBLICAN,0.595909372563913
1991,Alaska,REPUBLICAN,0.595909372563913
1992,Alaska,REPUBLICAN,0.3945749808515083
1993,Alaska,REPUBLICAN,0.3945749808515083
1994,Alaska,REPUBLICAN,0.3945749808515083
1995,Alaska,REPUBLICAN,0.3945749808515083
1996,Alaska,REPUBLICAN,0.5080125817399221
1997,Alaska,REPUBLICAN,0.5080125817399221
1998,Alaska,REPUBLICAN,0.5080125817399221
1999,Alaska,REPUBLICAN,0.5080125817399221
2000,Alaska,REPUBLICAN,0.5862095531587057
2001,Alaska,REPUBLICAN,0.5862095531587057
2002,Alaska,REPUBLICAN,0.5862095531587057
2003,Alaska,REPUBLICAN,0.5862095531587057
2004,Alaska,REPUBLICAN,0.6106532991253942
2005,Alaska,REPUBLICAN,0.6106532991253942
2006,Alaska,REPUBLICAN,0.6106532991253942
2007,Alaska,REPUBLICAN,0.6106532991253942
2008,Alaska,REPUBLICAN,0.5942451953880631
2009,Alaska,REPUBLICAN,0.5942451953880631
2010,Alaska,REPUBLICAN,0.5942451953880631
2011,Alaska,REPUBLICAN,0.5942451953880631
2012,Alaska,REPUBLICAN,0.5480157739729447
2013,Alaska,REPUBLICAN,0.5480157739729447
2014,Alaska,REPUBLICAN,0.5480157739729447
2015,Alaska,REPUBLICAN,0.5480157739729447
2016,Alaska,REPUBLICAN,0.5128151207753728
2017,Alaska,REPUBLICAN,0.5128151207753728
2018,Alaska,REPUBLICAN,0.5128151207753728
2019,Alaska,REPUBLICAN,0.5128151207753728
2020,Alaska,REPUBLICAN,0.5283314327038078
1976,Arizona,REPUBLICAN,0.5636613577948053
1977,Arizona,REPUBLICAN,0.5636613577948053
1978,Arizona,REPUBLICAN,0.5636613577948053
1979,Arizona,REPUBLICAN,0.5636613577948053
1980,Arizona,REPUBLICAN,0.6060884838290739
1981,Arizona,REPUBLICAN,0.6060884838290739
1982,Arizona,REPUBLICAN,0.6060884838290739
1983,Arizona,REPUBLICAN,0.6060884838290739
1984,Arizona,REPUBLICAN,0.6642148285841561
1985,Arizona,REPUBLICAN,0.6642148285841561
1986,Arizona,REPUBLICAN,0.6642148285841561
1987,Arizona,REPUBLICAN,0.6642148285841561
1988,Arizona,REPUBLICAN,0.5995026764845679
1989,Arizona,REPUBLICAN,0.5995026764845679
1990,Arizona,REPUBLICAN,0.5995026764845679
1991,Arizona,REPUBLICAN,0.5995026764845679
1992,Arizona,REPUBLICAN,0.38473141781132836
1993,Arizona,REPUBLICAN,0.38473141781132836
1994,Arizona,REPUBLICAN,0.38473141781132836
1995,Arizona,REPUBLICAN,0.38473141781132836
1996,Arizona,DEMOCRAT,0.4651706594607681
1997,Arizona,DEMOCRAT,0.4651706594607681
1998,Arizona,DEMOCRAT,0.4651706594607681
1999,Arizona,DEMOCRAT,0.4651706594607681
2000,Arizona,REPUBLICAN,0.5102113816043696
2001,Arizona,REPUBLICAN,0.5102113816043696
2002,Arizona,REPUBLICAN,0.5102113816043696
2003,Arizona,REPUBLICAN,0.5102113816043696
2004,Arizona,REPUBLICAN,0.5486943408601376
